name_ja,name_en,name_zh_cn,name_ko,name_vi,name_ru,name_id,note_ja,note_en,fee,trash_type_str
スポンジ,Sponge,海绵,스펀지,Miếng bọt biển,Губка,Spons,なし,None,有料,燃やせるごみ
ズボンプレッサー,Pants presser,裤子熨烫机,바지 프레스기,Máy ép quần tây,Пресс для брюк,Setrika celana,小型家電の無料回収に出すと資源に！,Can be recycled as small appliance.,有料,大型ごみ
スマートフォン,Smartphone,智能手机,스마트폰,Điện thoại thông minh,Смартфон,Ponsel pintar,小型家電の無料回収に出すと資源に！,Can be recycled as small appliance.,有料,燃やせないごみ
炭,Charcoal,炭,숯,Than củi,Уголь,Arang,水に浸し、発火しないようにして,Soak in water to prevent ignition.,有料,燃やせるごみ
スライサー,Slicer,切片机,슬라이서,Máy thái lát,Слайсер,Alat pengiris,なし,None,有料,燃やせないごみ
すりこぎ棒,Pestle,研磨棒,절굿공이,Chày giã,Пестик,Alu (cobek),なし,None,有料,燃やせるごみ
スリッパ,Slippers,拖鞋,슬리퍼,Dép đi trong nhà,Тапочки,Sandal/Selop,なし,None,有料,燃やせるごみ
すり鉢,Mortar,研磨钵,절구통,Cối giã,Ступка,Cobek (Lumpang),なし,None,有料,燃やせないごみ
製氷皿,Ice tray,制冰盒,제빙 접시,Khay làm đá,Форма для льда,Cetakan es,金属製は「燃やせないごみ」,Metal items are Non-burnable waste.,有料,燃やせるごみ
生理用品,Sanitary products,卫生用品,생리 용품,Sản phẩm vệ sinh phụ nữ,Предметы женской гигиены,Produk sanitasi,なし,None,有料,燃やせるごみ
石炭,Coal,石炭,석탄,Than đá,Каменный уголь,Batu bara,水に浸し、発火しないようにして,Soak in water to prevent ignition.,有料,燃やせるごみ
石炭ストーブ,Coal stove,煤炉,석탄 난로,Lò sưởi than đá,Угольная печь,Kompor batu bara,なし,None,有料,大型ごみ
石油ストーブ,Oil heater (Kerosene stove),石油炉,석유 난로,Lò sưởi dầu (Dầu hỏa),Керосиновая печь,Kompor minyak tanah,小型家電の無料回収に出すと資源に！※必ず灯油を空にして出してください,Can be recycled as small appliance. *Empty kerosene completely.,有料,大型ごみ
石けん入れ（容器として購入したもの）,Soap dish/container (Purchased as a container),肥皂盒（作为容器购买的）,비누 받침/통 (용기로 구매한 것),Hộp đựng xà phòng (được mua như một vật chứa),Мыльница (купленная как контейнер),Tempat sabun (dibeli sebagai wadah),金属製は「燃やせないごみ」,Metal items are Non-burnable waste.,有料,燃やせるごみ
石膏ボード,Plasterboard,石膏板,석고 보드,Tấm thạch cao,Гипсокартон,Papan gipsum,なし,None,有料,燃やせないごみ
接着剤のチューブ（金属製）,Adhesive tube (Metal),胶水管（金属制）,접착제 튜브 (금속제),Tuýp keo dán (kim loại),Тюбик с клеем (металлический),Tabung perekat (logam),中身を使い切って／プラ製は「容器包装プラスチック」,Use up contents. Plastic version is Container/Packaging Plastic.,有料,燃やせないごみ
せともの,Ceramic ware,陶器,도자기,Đồ gốm sứ,Керамика,Barang keramik,なし,None,有料,燃やせないごみ
セメント（水和・硬化済のもの）,Cement (Hydrated and hardened),水泥（水合・硬化后的）,시멘트 (수화/경화된 것),Xi măng (đã hydrat hóa và đông cứng),Цемент (гидратированный и затвердевший),Semen (sudah terhidrasi dan mengeras),なし,None,有料,燃やせないごみ
セロハンテープ,Cellophane tape,玻璃纸胶带,셀로판 테이프,Băng keo xenlulo,Целлофановая лента,Selotip,なし,None,有料,燃やせるごみ
セロハンテープ台,Cellophane tape dispenser,玻璃纸胶带座,셀로판 테이프 디스펜서,Hộp đựng băng keo,Диспенсер для целлофановой ленты,Dispenser selotip,金属製は「燃やせないごみ」,Metal items are Non-burnable waste.,有料,燃やせるごみ
セロハンテープの芯,Cellophane tape core,玻璃纸胶带芯,셀로판 테이프 심,Lõi băng keo,Сердцевина целлофановой ленты,Inti selotip,なし,None,無料,雑がみ
線香の箱（紙製）,Incense box (Paper),线香盒（纸制）,선향 상자 (종이제),Hộp nhang (bằng giấy),Коробка от благовоний (бумажная),Kotak dupa (kertas),なし,None,無料,雑がみ
洗剤の計量カップ・スプーン（プラ製）,Detergent measuring cup/spoon (Plastic),洗涤剂量杯/勺（塑料制）,세제 계량컵/스푼 (플라스틱),Cốc/thìa đo chất tẩy rửa (nhựa),Мерный стакан/ложка для моющего средства (пластик),Cangkir/sendok takar deterjen (plastik),金属製は「燃やせないごみ」,Metal items are Non-burnable waste.,有料,燃やせるごみ
洗剤の容器（紙製）,Detergent container (paper),洗涤剂容器（纸制）,세제 용기 (종이),Hộp đựng chất tẩy rửa (giấy),Контейнер для моющих средств (бумага),Wadah deterjen (kertas),なし,None,無料,雑がみ
洗剤の容器（プラ製）,Detergent container (plastic),洗涤剂容器（塑料制）,세제 용기 (플라스틱),Hộp đựng chất tẩy rửa (nhựa),Контейнер для моющих средств (пластик),Wadah deterjen (plastik),なし,None,無料,容器包装プラスチック
洗車ブラシ,Car wash brush,洗车刷,세차 브러시,Bàn chải rửa xe,Щетка для мытья автомобилей,Sikat cuci mobil,プラ製以外は「燃やせないごみ」,"Non-plastic items are ""non-burnable waste.""",有料,燃やせるごみ
洗濯かご,Laundry basket,洗衣篮,빨래 바구니,Giỏ đựng quần áo,Корзина для белья,Keranjang cucian,金属製は「燃やせないごみ」,"Metal items are ""non-burnable waste.""",有料,燃やせるごみ
洗濯機,Washing machine,洗衣机,세탁기,Máy giặt,Стиральная машина,Mesin cuci,販売店または家電回収協力店へ／詳細は、「テレビ・冷蔵庫・洗濯機・エアコンリサイクル」のページ参照,Consult retailer/recycling center. See separate page for details on recycling TV/fridge/washing machine/AC.,-,市で収集しないもの
洗濯機棚,Washing machine rack,洗衣机架,세탁기 선반,Kệ máy giặt,Стеллаж для стиральной машины,Rak mesin cuci,なし,None,有料,大型ごみ
洗濯ネット,Laundry net,洗衣网,세탁망,Túi giặt,Сетка для стирки белья,Jaring cucian,なし,None,有料,燃やせるごみ
洗濯バサミ,Clothespin,衣夹,빨래집게,Kẹp quần áo,Прищепка,Penjepit pakaian,金属製は「燃やせないごみ」,"Metal items are ""non-burnable waste.""",有料,燃やせるごみ
剪定バサミ,Pruning shears,修枝剪,전정 가위,Kéo tỉa cành,Секатор,Gunting pangkas,刃先を厚紙などで包んで、「キケン」と表示,"Wrap blade with thick paper, mark ""DANGER.""",有料,燃やせないごみ
栓抜き,Bottle opener,开瓶器,병따개,Dụng cụ mở chai,Открывалка для бутылок,Pembuka botol,なし,None,有料,燃やせないごみ
扇風機,Electric fan,电风扇,선풍기,Quạt điện,Вентилятор,Kipas angin,小型家電の無料回収に出すと資源に！,Can be recycled via free small appliance collection.,有料,大型ごみ
洗面器（プラ製）,Washbasin (plastic),洗脸盆（塑料制）,세면기 (플라스틱),Chậu rửa mặt (nhựa),Таз (пластик),Baskom (plastik),金属製は「燃やせないごみ」,"Metal items are ""non-burnable waste.""",有料,燃やせるごみ
洗面化粧台,Vanity unit,洗脸化妆台,세면 화장대,Bàn trang điểm rửa mặt,Туалетный столик с раковиной,Unit meja rias wastafel,なし,None,有料,大型ごみ
造花（針金入り）,Artificial flower (with wire),人造花（含铁丝）,조화 (철사 포함),Hoa giả (có dây thép),Искусственный цветок (с проволокой),Bunga tiruan (dengan kawat),布製・プラ製は「燃やせるごみ」,"Cloth/plastic items are ""burnable waste.""",有料,燃やせないごみ
双眼鏡,Binoculars,双筒望远镜,쌍안경,Ống nhòm,Бинокль,Teropong,なし,None,有料,燃やせないごみ
ぞうきん,Dust cloth/Rag,抹布,걸레,Khăn lau,Тряпка,Lap pel,なし,None,有料,燃やせるごみ
掃除機,Vacuum cleaner,吸尘器,청소기,Máy hút bụi,Пылесос,Penyedot debu,小型家電の無料回収に出すと資源に！／バッテリーは取り外して販売店・協力店の回収箱へ（市が収集しないごみのページ参照）,Can be recycled via free small appliance collection. Remove batteries and drop off at designated boxes (see non-collectible waste page).,有料,燃やせないごみ
ソファー,Sofa,沙发,소파,Ghế sofa,Диван,Sofa,木製はリユース（再利用）収集対象,Wooden items are eligible for reuse collection.,有料,大型ごみ
ソファーベッド,Sofa bed,沙发床,소파 침대,Ghế sofa giường,Диван-кровать,Sofa bed,なし,None,有料,大型ごみ
そり,Sled,雪橇,썰매,Xe trượt tuyết,Санки,Kereta luncur,なし,None,有料,大型ごみ
体温計,Thermometer,体温计,체온계,Nhiệt kế,Термометр,Termometer,電子式は「小型家電の無料回収」に出すと資源に！／水銀式は「水銀体温計・水銀血圧計・水銀温度計の無料回収」に出すと資源に！,Electronic type: recycle via free small appliance collection. Mercury type: recycle via free mercury collection.,有料,燃やせないごみ
耐火金庫,Fireproof safe,防火保险箱,내화 금고,Két sắt chống cháy,Огнестойкий сейф,Brankas tahan api,金属商に相談,Consult a metal dealer.,-,市で収集しないもの
耐火ボード,Fireproof board,防火板,내화 보드,Tấm chống cháy,Огнестойкая доска,Papan tahan api,なし,None,有料,燃やせないごみ
体脂肪計,Body fat analyzer,体脂秤,체지방 측정기,Máy phân tích mỡ cơ thể,Анализатор жира,Alat analisis lemak tubuh,「小型家電の無料回収」に出すと資源に！,Can be recycled via free small appliance collection.,有料,燃やせないごみ
体重計,Scale/Weighing machine,体重秤,체중계,Cân,Весы,Timbangan,電子式は「小型家電の無料回収」に出すと資源に！,Electronic type can be recycled via free small appliance collection.,有料,燃やせないごみ
タイヤ,Tire,轮胎,타이어,Lốp xe,Шина,Ban,廃タイヤ取扱協力指定店へ（ガソリンスタンドなど）,"Take to designated waste tire handling facility (e.g., gas stations).",-,市で収集しないもの
タイヤチェーン(金属製),Tire chains (metal),轮胎链（金属制）,타이어 체인 (금속제),Xích lốp (kim loại),Цепи противоскольжения (металлические),Rantai ban (logam),なし,None,有料,燃やせないごみ
タイヤチェーン(金属製以外),Tire chains (non-metal),轮胎链（非金属制）,타이어 체인 (금속제 외),Xích lốp (phi kim loại),Цепи противоскольжения (неметаллические),Rantai ban (non-logam),なし,None,有料,燃やせるごみ
タイル,Tile,瓷砖,타일,Gạch lát,Плитка,Ubin,なし,None,有料,燃やせないごみ
タオル,Towel,毛巾,수건,Khăn tắm,Полотенце,Handuk,綿50％以上の薄手の古布は「古布の無料回収」に出すと資源に！,Thin used cloth (50%+ cotton) can be recycled via free used cloth collection.,有料,燃やせるごみ
タオルケット,Towel blanket,毛巾被,타월 담요,Chăn bông,Покрывало-полотенце,Selimut handuk,綿50％以上の薄手の古布は「古布の無料回収」に出すと資源に！,Recycle thin used cloth (50%+ cotton) through the free old cloth collection.,有料,燃やせるごみ
竹,Bamboo,竹子,대나무,Tre,Бамбук,Bambu,なし,N/A,有料,燃やせるごみ
竹ぼうき,Bamboo broom,竹扫帚,대나무 빗자루,Chổi tre,Бамбуковая метла,Sapu bambu,なし,N/A,有料,大型ごみ
畳,Tatami mat,榻榻米垫,다다미,Chiếu Tatami,Татами (циновка),Tikar Tatami,なし,N/A,有料,大型ごみ
多段式プラスチックケース,Multi-tier plastic case,多层塑料收纳盒,다단식 플라스틱 케이스,Hộp nhựa nhiều tầng,Многоуровневый пластиковый ящик,Kotak plastik bertingkat,指定ごみ袋に入る場合は「燃やせるごみ」,"If it fits in the designated garbage bag, dispose of as 'Burnable waste'.",有料,大型ごみ
脱衣かご（木製・プラ製）,Laundry basket (wood/plastic),洗衣篮（木制/塑料）,세탁 바구니 (나무/플라스틱),Giỏ đựng đồ (gỗ/nhựa),Корзина для белья (дерево/пластик),Keranjang pakaian (kayu/plastik),金属製は「燃やせないごみ」,"If metal, dispose of as 'Non-burnable waste'.",有料,燃やせるごみ
脱酸素剤（菓子などに入っているもの）,"Oxygen absorber (e.g., in snacks)",脱氧剂（例如零食中的）,산소 흡수제 (과자 등에 들어있는 것),Gói hút oxy (trong bánh kẹo),Поглотитель кислорода (в упаковке),Penyerap oksigen (misalnya di makanan ringan),なし,N/A,有料,燃やせるごみ
脱脂綿,Absorbent cotton,脱脂棉,탈지면,Bông gòn,Гигроскопическая вата,Kapas absorben,なし,N/A,有料,燃やせるごみ
脱臭剤（冷蔵庫・冷凍庫・室内用など）,Deodorizer (refrigerator/room),除臭剂（冰箱、室内用等）,"탈취제 (냉장고, 실내용 등)","Chất khử mùi (tủ lạnh, phòng)",Дезодорант (для холодильника/комнаты),Penghilang bau (kulkas/ruangan),なし,N/A,有料,燃やせるごみ
楯,Shield/Plaque (Non-wooden/Non-plastic),奖牌/盾牌,방패/상패,Tấm khiên/Tấm danh dự,Памятная табличка/Щит,Perisai/Plakat,木製・プラは「燃やせるごみ」,"If wooden or plastic, dispose of as 'Burnable waste'.",有料,燃やせないごみ
タバコの外包装フィルム,Cigarette outer wrapping film,香烟外包装薄膜,담배 외부 포장 필름,Màng bọc bên ngoài thuốc lá,Внешняя упаковочная пленка от сигарет,Film pembungkus luar rokok,なし,N/A,無料,容器包装プラスチック
タバコの吸い殻,Cigarette butts,烟头,담배꽁초,Tàn thuốc lá,Окурки,Puntung rokok,なし,N/A,有料,燃やせるごみ
タバコの箱,Cigarette box (cardboard),香烟盒,담배 상자,Hộp thuốc lá,Сигаретная пачка (картон),Kotak rokok,なし,N/A,無料,雑がみ
タバコの箱の中の銀紙,Silver foil inside cigarette box,烟盒内的锡纸,담배 상자 안의 은박지,Giấy bạc bên trong hộp thuốc lá,Фольга внутри сигаретной пачки,Kertas perak di dalam kotak rokok,なし,N/A,無料,雑がみ
タブレット,Tablet device,平板电脑,태블릿,Máy tính bảng,Планшет,Perangkat tablet,「小型家電の無料回収」に出すと資源に！,Can be recycled through 'Free collection of small household appliances'.,有料,燃やせないごみ
卵のパック,Egg carton (plastic),鸡蛋包装盒（塑料）,계란 팩 (플라스틱),Vỉ trứng (nhựa),Лоток для яиц (пластик),Wadah telur (plastik),紙製は「雑がみ」,Paper cartons are categorized as 'Misc. Paper'.,無料,容器包装プラスチック
たらい（金属製）,Basin (metal),脸盆（金属制）,세숫대야 (금속제),Chậu (kim loại),Таз (металлический),Baskom (logam),なし,N/A,有料,燃やせないごみ
たらい（木製・プラ製）,Basin (wood/plastic),脸盆（木制/塑料）,세숫대야 (나무/플라스틱),Chậu (gỗ/nhựa),Таз (дерево/пластик),Baskom (kayu/plastik),なし,N/A,有料,燃やせるごみ
たわし（金属製）,Scrub brush (metal),钢丝球（金属制）,수세미 (금속제),Bùi nhùi (kim loại),Металлическая мочалка,Sikat gosok (logam),なし,N/A,有料,燃やせないごみ
たわし（金属製以外）,Scrub brush (non-metal),百洁布（非金属）,수세미 (비금속),Bùi nhùi (phi kim loại),Мочалка (неметаллическая),Sikat gosok (non-logam),なし,N/A,有料,燃やせるごみ
炭酸ガスカートリッジ,Carbon Dioxide Cartridge,二氧化碳气瓶,탄산가스 카트리지,Hộp khí CO2,Картридж с CO2,Kartrid Karbon Dioksida,中身が使い切れない場合は、各製造元（メーカー）または販売店に相談,"If not fully emptied, consult the manufacturer or retailer.",有料,燃やせないごみ
たんす,Chest of drawers/Cabinet,衣柜/斗柜,옷장/서랍장,Tủ quần áo,Комод/Шкаф,Lemari laci,木製はリユース（再利用）収集対象,Wooden items are eligible for reuse collection.,有料,大型ごみ
タンスシート,Cabinet liner/Drawer sheet,衣柜/抽屉垫纸,장롱 시트,Tấm lót tủ,Покрытие для шкафа/ящика,Alas laci,なし,N/A,有料,燃やせるごみ
断熱材(スタイロフォームなど),"Insulation material (Styrofoam, etc.)",隔热材料（例如聚苯乙烯泡沫）,단열재 (스티로폼 등),Vật liệu cách nhiệt (Styrofoam),Изоляционный материал (пенопласт и т.п.),"Bahan isolasi (Styrofoam, dll.)",なし,N/A,有料,燃やせるごみ
ダンベル,Dumbbell,哑铃,덤벨,Tạ tay,Гантель,Barbel,なし,N/A,有料,燃やせないごみ
ダンボール,Cardboard,纸板箱,골판지,Bìa carton,Картон,Kardus,古紙（新聞・雑誌・ダンボール）の無料回収ページで回収拠点等を確認。やむを得ない場合や食品汚れなどで汚れが落ちないものは「燃やせるごみ」,"Check collection points for free paper recycling. If unavoidable or heavily soiled, dispose of as 'Burnable waste'.",-,集団資源回収など
チェスト,Chest of drawers/Cabinet,抽屉柜,가슴,Tủ ngăn kéo,Комод,Lemari laci,木製はリユース（再利用）収集対象,Wooden items are eligible for reuse collection.,有料,大型ごみ
地球儀,Globe,地球仪,지구본,Quả địa cầu,Глобус,Bola dunia,なし,N/A,有料,燃やせないごみ
チャイルドシート,Child seat/Car seat,儿童安全座椅,카시트,Ghế trẻ em (ô tô),Детское кресло (автомобильное),Kursi anak (mobil),なし,N/A,有料,大型ごみ
茶殻,Tea grounds/Used tea leaves,茶叶渣,찻잎 찌꺼기,Bã trà,Чайная заварка (отходы),Ampas teh,なし,N/A,有料,燃やせるごみ
茶殻入れ,Tea leaf holder,茶渣容器,찻잎 찌꺼기 통,Khay đựng bã trà,Контейнер для чайной заварки,Tempat ampas teh,なし,None,有料,燃やせないごみ
茶こし,Tea strainer,茶滤,차 거름망,Lọc trà,Сито для чая,Saringan teh,なし,None,有料,燃やせないごみ
茶だんす,Tea cabinet,茶柜,찻장,Tủ đựng trà,Чайный шкаф,Lemari teh,木製はリユース（再利用）収集対象,Wooden items are subject to reuse collection.,有料,大型ごみ
茶筒（金属製で容器として購入したもの）,"Tea caddy (metal, purchased as a container)",茶叶罐（金属制，作为容器购买）,"차통 (금속제, 용기로 구입한 것)","Hộp đựng trà (kim loại, mua như một hộp đựng)","Чайница (металлическая, купленная как контейнер)","Kaleng teh (logam, dibeli sebagai wadah)",なし,None,有料,燃やせないごみ
茶筒（木製・プラ製で容器として購入したもの）,"Tea caddy (wooden/plastic, purchased as a container)",茶叶罐（木制・塑料制，作为容器购买）,"차통 (나무/플라스틱제, 용기로 구입한 것)","Hộp đựng trà (gỗ/nhựa, mua như một hộp đựng)","Чайница (деревянная/пластиковая, купленная как контейнер)","Kaleng teh (kayu/plastik, dibeli sebagai wadah)",なし,None,有料,燃やせるごみ
茶の缶（お茶、茶葉が入って販売されていたもの）,Tea can (containing tea leaves when sold),茶叶罐（装有茶叶出售的）,"차 캔 (차, 찻잎이 들어 판매되던 것)","Lon trà (được bán kèm trà, lá trà)",Банка из-под чая (в которой продавался чай или чайные листья),Kaleng teh (yang dijual berisi teh atau daun teh),なし,None,無料,びん・缶・ペットボトル
茶の袋（紙製）,Tea bag (paper),茶叶袋（纸制）,차 포장지 (종이제),Túi đựng trà (bằng giấy),Пакетик для чая (бумажный),Kantong teh (kertas),なし,None,無料,雑がみ
茶の袋（プラ製・アルミ蒸着を含む）,"Tea bag (plastic, including aluminum vapor deposition)",茶叶袋（塑料制，含铝蒸镀）,"차 포장지 (플라스틱제, 알루미늄 증착 포함)","Túi đựng trà (nhựa, kể cả tráng nhôm)","Пакетик для чая (пластиковый, включая металлизированный)","Kantong teh (plastik, termasuk pelapisan aluminium)",なし,None,無料,容器包装プラスチック
茶箱,Tea chest/Box,茶箱,차 상자,Thùng trà,Чайный ящик,Kotak teh,紙製は解体して「雑がみ」,Paper boxes should be disassembled and disposed of as 'Miscellaneous Paper'.,有料,大型ごみ
中華鍋,Wok,炒锅,중화 냄비 (웍),Chảo xào (Wok),Китайская сковорода (вок),Wajan (Wok),小物金属類の無料回収に出すと資源に！,Becomes a resource if placed in free collection for small metal items.,有料,燃やせないごみ
注射器,Syringe,注射器,주사기,Ống tiêm,Шприц,Jarum suntik (Syringe),注射針は必ず取り除いて,Be sure to remove the needle.,有料,燃やせるごみ
注射針,Hypodermic needle,注射针,주사 바늘,Kim tiêm,Иглы для инъекций,Jarum suntik,かかりつけの病院へ,Take it to your regular hospital/clinic.,-,市で収集しないもの
チューナー,Tuner,调谐器,튜너,Bộ dò đài,Тюнер,Tuner,小型家電の無料回収に出すと資源に！,Becomes a resource if placed in free collection for small electronics.,有料,燃やせないごみ
チューブ・カテーテル類,Tubes/Catheters,管子・导管类,튜브・카테터류,Ống/Ống thông,Трубки/Катетеры,Selang/Kateter,なし,None,有料,燃やせるごみ
彫刻刀,Chisel/Carving knife,雕刻刀,조각칼,Đục/Dao khắc,Резец/Нож для резьбы,Pahat/Pisau ukir,刃先を厚紙などで包んで、「キケン」と表示,Wrap the tip in thick paper and label it 'DANGER'.,有料,燃やせないごみ
調味料のびん,Seasoning bottle,调味品瓶,조미료 병,Chai đựng gia vị,Бутылка для приправ,Botol bumbu,プラスチック製のふたは「容器包装プラスチック」、それ以外のふたは「燃やせないごみ」,"Plastic lids go to 'Container Plastic', others to 'Non-burnable Waste'.",無料,びん・缶・ペットボトル
調味料の容器・チューブ（プラ製）,Seasoning container/tube (plastic),调味品容器・软管（塑料制）,조미료 용기・튜브 (플라스틱제),Hộp/tuýp đựng gia vị (nhựa),Контейнер/Тюбик для приправ (пластик),Wadah/Tabung bumbu (plastik),中身を使い切って,Ensure contents are used up.,無料,容器包装プラスチック
調理台,Kitchen counter/Cooking bench,料理台,조리대,Bàn bếp/Bàn nấu ăn,Кухонная столешница,Meja dapur,システムキッチンなど一体型のものを除く,Excludes integrated units like system kitchens.,有料,大型ごみ
チラシ,Flyer/Leaflet,传单,전단지,Tờ rơi,Листовка/Флаер,Brosur/Pamflet,古紙（新聞・雑誌・ダンボール）の無料回収ページで回収拠点等を確認。やむを得ない場合は「雑がみ」で収集,"Check collection points for waste paper. If unavoidable, dispose of as 'Miscellaneous Paper'.",-,集団資源回収など
ちり紙,Toilet paper/Tissue paper (non-facial),卫生纸,화장지,Giấy vệ sinh,Туалетная бумага,Kertas tisu,なし,None,有料,燃やせるごみ
ちりとり,Dustpan,畚箕,쓰레받기,Đồ hốt rác,Совок для мусора,Pengki,金属製は「燃やせないごみ」,Metal dustpans are 'Non-burnable Waste'.,有料,燃やせるごみ
ついたて,Partition/Screen,屏风/隔板,칸막이,Bình phong/Màn che,Перегородка/Ширма,Partisi/Layar,なし,None,有料,大型ごみ
つえ（金属製）,Cane/Walking stick (metal),拐杖（金属制）,지팡이 (금속제),Gậy chống (kim loại),Трость (металлическая),Tongkat (logam),なし,None,有料,燃やせないごみ
つえ（木製・プラ製）,Cane/Walking stick (wooden/plastic),拐杖（木制・塑料制）,지팡이 (나무/플라스틱제),Gậy chống (gỗ/nhựa),Трость (деревянная/пластиковая),Tongkat (kayu/plastik),なし,None,有料,燃やせるごみ
机,Desk/Table,桌子,책상,Bàn,Стол/Парта,Meja,木製はリユース（再利用）収集対象,Wooden items are subject to reuse collection.,有料,大型ごみ
つけ毛（ヘアーエクステンション）,Hairpiece (Hair extensions),假发（接发）,붙임머리 (헤어 익스텐션),Tóc giả (nối tóc),Накладные волосы (наращивание),Rambut palsu (Hair extensions),なし,None,有料,燃やせるごみ
漬け物石,Pickle stone,腌菜石,절임돌,Đá muối dưa/cà,Груз для солений,Batu pengawet,なし,None,有料,燃やせないごみ
漬け物用樽,Pickle barrel,腌菜桶,절임용 통,Thùng muối dưa/cà,Бочка для солений,Tong acar,二斗樽（36ℓ）未満は「燃やせるごみ」,Barrels under 36 liters (Nito-daru) are 'Burnable Waste'.,有料,大型ごみ
土（鉢植えなどから出た少量のもの）,"Soil (small amounts from potted plants, etc.)",泥土（盆栽等产生的少量泥土）,흙 (화분 등에서 나온 소량),"Đất (số lượng nhỏ từ chậu cây, v.v.)",Грунт (небольшое количество из горшечных растений и т.д.),"Tanah (jumlah kecil dari pot tanaman, dll.)",なるべく小袋で,Preferably in small bags.,有料,燃やせないごみ
つっぱり棚（プラ製）,Tension rod shelf (plastic),伸缩架（塑料制）,압축 선반 (플라스틱제),Kệ thanh căng (nhựa),Распорная полка (пластиковая),Rak tiang tegangan (plastik),金属製は「燃やせないごみ」,Metal shelves are 'Non-burnable Waste'.,有料,燃やせるごみ
つっぱり棒（プラ製）,Tension rod (plastic),伸缩杆 (塑料制),압축봉 (플라스틱),Thanh căng (nhựa),Распорная штанга (пластик),Batang penahan (plastik),金属製は「燃やせないごみ」,Metal items are Non-burnable.,有料,燃やせるごみ
詰替え品の容器など（プラ製）,"Refill containers, etc. (plastic)",替换装容器等 (塑料制),리필 용기 등 (플라스틱),Bao bì sản phẩm thay thế (nhựa),Емкости для наполнителей (пластик),Wadah isi ulang (plastik),シャンプー・リンスなど,"E.g., shampoo/conditioner containers.",無料,容器包装プラスチック
つめ切り,Nail clippers,指甲刀,손톱깎이,Cái cắt móng tay,Кусачки для ногтей,Gunting kuku,なし,N/A,有料,燃やせないごみ
釣り糸・テグス,Fishing line / Nylon line,鱼线/特古斯线,낚싯줄/테구스,Dây câu cá / Dây tegus,Рыболовная леска / Тегус,Senar pancing / Tali nilon,なし,N/A,有料,燃やせるごみ
つりざお,Fishing rod,鱼竿,낚싯대,Cần câu cá,Удочка,Joran pancing,なし,N/A,有料,燃やせるごみ
つるはし,Pickaxe,鹤嘴锄,곡괭이,Cuốc chim,Кирка,Beliung,柄を分離し指定ごみ袋に入るものは、柄（木製）は「燃やせるごみ」、刃は厚紙などで包み「キケン」と表示して「燃やせないごみ」,"If separated: Handle (wood) is Burnable. Blade must be wrapped, marked 'DANGER', and is Non-burnable.",有料,大型ごみ
ティッシュペーパー,Tissue paper,纸巾,티슈 페이퍼,Giấy vệ sinh (tissue),Салфетки/бумага для лица,Tisu,なし,N/A,有料,燃やせるごみ
ティッシュペーパーの箱,Tissue boxes,纸巾盒,티슈 상자,Hộp đựng giấy vệ sinh,Коробка от салфеток,Kotak tisu,なし,N/A,無料,雑がみ
DVD（ケースを含む）,DVD (including case),DVD (包括盒子),DVD (케이스 포함),DVD (kể cả hộp),DVD (включая футляр),DVD (termasuk kasing),なし,N/A,有料,燃やせるごみ
DVDプレーヤー,DVD player,DVD播放器,DVD 플레이어,Đầu đĩa DVD,DVD-плеер,Pemutar DVD,小型家電の無料回収に出すと資源に！,Can be recycled via free collection of small home appliances.,有料,燃やせないごみ
テーブル,Table,桌子,테이블,Bàn,Стол,Meja,木製はリユース（再利用）収集対象,Wooden tables are subject to reuse collection.,有料,大型ごみ
テーブルクロス,Tablecloth,桌布,테이블보,Khăn trải bàn,Скатерть,Taplak meja,なし,N/A,有料,燃やせるごみ
テーブルタップ,Power strip / Table tap,插线板,멀티탭,Ổ cắm điện (bàn),Сетевой фильтр,Stop kontak (meja),小型家電の無料回収に出すと資源に！,Can be recycled via free collection of small home appliances.,有料,燃やせないごみ
テープレコーダー,Tape recorder,录音机,테이프 레코더,Máy ghi âm,Магнитофон,Perekam pita,小型家電の無料回収に出すと資源に！,Can be recycled via free collection of small home appliances.,有料,燃やせないごみ
手おけ（木製・プラ製）,Hand pail/bucket (wood/plastic),手提桶 (木制/塑料制),작은 양동이 (목재/플라스틱),Gáo/Xô nhỏ (gỗ/nhựa),Ручное ведро (дерево/пластик),Timba kecil (kayu/plastik),金属製は「燃やせないごみ」,Metal items are Non-burnable.,有料,燃やせるごみ
手提げ金庫,Portable safe / Cash box,手提保险箱,휴대용 금고,Két sắt xách tay,Портативный сейф,Brankas portabel,耐火性能がある場合は「市で収集しないもの」に該当するため、金属商に相談,"If fireproof, it's Not Collected by the City; consult a metal dealer.",有料,燃やせないごみ
デジタルオーディオプレーヤー,Digital audio player (DAP),数字音频播放器,디지털 오디오 플레이어,Máy nghe nhạc kỹ thuật số,Цифровой аудиоплеер,Pemutar audio digital,小型家電の無料回収に出すと資源に！,Can be recycled via free collection of small home appliances.,有料,燃やせないごみ
手帳,Notebook / Diary,记事本/手册,수첩,Sổ tay,Ежедневник,Buku catatan,電子手帳は「燃やせないごみ」,Electronic organizers are Non-burnable Waste.,無料,雑がみ
鉄アレイ,Dumbbell,哑铃,덤벨,Tạ đơn,Гантель,Barbel,なし,N/A,有料,燃やせないごみ
鉄パイプ・鉄柵類,Iron pipes / Iron fences,铁管/铁栅栏类,쇠 파이프/철책류,Ống sắt / Hàng rào sắt,Железные трубы / Заборы,Pipa besi / Pagar besi,なし,N/A,有料,燃やせないごみ
